conversation_id,match_id,sent_at,sender_role,sender_name,recipient_name,message_text,prompt_title,prompt_response,delivery_status,like_context
conv_001,match_001,2023-07-14T19:21:04Z,user,Avery,Jordan,Hey! Loved your travel photos.,Prompt: "My simple pleasures",Lazy mornings with coffee,delivered,like
conv_001,match_001,2023-07-14T19:25:51Z,match,Jordan,Avery,Thanks! What's been your favorite trip?,Prompt: "My simple pleasures",Lazy mornings with coffee,delivered,match
conv_001,match_001,2023-07-14T19:33:12Z,user,Avery,Jordan,Probably Kyoto during cherry blossom season. You?,Prompt: "My simple pleasures",Lazy mornings with coffee,delivered,match
conv_002,match_002,2023-08-02T02:15:10Z,match,Morgan,Avery,You seem fun but I hate texting lol.,None,None,delivered,skip
conv_002,match_002,2023-08-02T02:17:48Z,user,Avery,Morgan,Totally get it—want to move to voice notes?,None,None,read,skip
conv_002,match_002,2023-08-02T02:20:09Z,match,Morgan,Avery,Nah I'm better in person. When are you free?,None,None,read,skip
conv_003,match_003,2023-04-19T16:02:37Z,user,Avery,Jamie,How's your week going?,Prompt: "Most spontaneous thing I've done",Booked a flight day-of,delivered,rose
conv_003,match_003,2023-04-20T02:58:05Z,match,Jamie,Avery,Busy! Clients being clients.,Prompt: "Most spontaneous thing I've done",Booked a flight day-of,delivered,rose
conv_003,match_003,2023-04-20T03:10:43Z,user,Avery,Jamie,Hope you get some rest. Want to continue later?,Prompt: "Most spontaneous thing I've done",Booked a flight day-of,delivered,rose
conv_003,match_003,2023-04-21T18:40:30Z,match,Jamie,Avery,Sure—btw I'm bad at texting so remind me.,Prompt: "Most spontaneous thing I've done",Booked a flight day-of,delivered,rose
